brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,price
Maruti,Manual,2018.0,CNG,998.0,80107.0,4334.0
Renault,Manual,2022.0,Petrol,999.0,15362.0,4488.0
Maruti,Manual,2014.0,Petrol,998.0,64539.0,2596.0
Hyundai,Manual,2015.0,Petrol,1197.0,99453.0,3729.0
Honda,Automatic,2014.0,Petrol,1497.0,47445.0,5192.0
Maruti,Manual,2019.0,Petrol,1197.0,30890.0,6402.0
Honda,Automatic,2019.0,Petrol,1497.0,68275.0,9812.0
Ford,Manual,2019.0,Petrol,1497.0,98296.0,6776.0
Hyundai,Manual,2011.0,Petrol,1197.0,89562.0,2530.0
Renault,Manual,2022.0,Petrol,999.0,7168.0,4631.0
Renault,Manual,2019.0,Petrol,999.0,34562.0,4003.9999999999995
Honda,Manual,2011.0,Petrol,1497.0,61297.0,2574.0
Tata,Manual,2020.0,Petrol,1199.0,62836.0,8393.0
Tata,Manual,2021.0,Petrol,1199.0,47603.0,5830.0
Maruti,Manual,2015.0,Petrol,1373.0,119079.0,4697.0
Maruti,Automatic,2020.0,Petrol,998.0,41307.0,5247.0
Nissan,Manual,2022.0,Petrol,999.0,26583.0,9614.0
Tata,Manual,2021.0,Petrol,1199.0,19878.0,6314.0
Maruti,Manual,2015.0,Petrol,1373.0,56050.0,5632.0
Maruti,Manual,2019.0,Petrol,1197.0,34898.0,5214.0
Hyundai,Manual,2012.0,Petrol,1591.0,38005.0,3916.0
Renault,Manual,2022.0,Petrol,999.0,21089.0,6743.0
Hyundai,Automatic,2020.0,Petrol,1353.0,57541.0,15817.999999999998
Renault,Automatic,2020.0,Petrol,999.0,12381.0,4389.0
Maruti,Manual,2020.0,Petrol,1197.0,38482.0,6622.0
Maruti,Manual,2020.0,Petrol,998.0,30057.0,4433.0
Honda,Manual,2015.0,Petrol,1497.0,89726.0,5753.0
Maruti,Manual,2021.0,Petrol,1197.0,20120.0,7084.0
Honda,Manual,2015.0,Petrol,1198.0,96395.0,3597.0
Hyundai,Manual,2011.0,Petrol,1197.0,97272.0,2079.0
Maruti,Manual,2016.0,Petrol,1197.0,58639.0,5049.0
Maruti,Manual,2020.0,Petrol,1197.0,31279.0,6622.0
Hyundai,Manual,2015.0,Petrol,1197.0,99108.0,3542.0
